lat,long
52.46049,13.387843
52.459369,13.387555
52.459275,13.387154
52.459105,13.387016
52.459216,13.385976
52.459331,13.384494
52.459596,13.381619
52.45984,13.37898
52.46003,13.376426
52.460201,13.374814
52.460395,13.372658
52.460536,13.37128
52.460667,13.370019
52.460697,13.369682
52.460217,13.368401
52.459683,13.367868
52.459716,13.366486
52.459774,13.364502
52.459835,13.363004
52.45987,13.362299
52.459913,13.361653
52.459853,13.361357
52.459666,13.361174
52.459551,13.361052
52.458009,13.359824
52.456727,13.359472
52.457443,13.355656
52.457644,13.355369
52.45815,13.355062
52.458765,13.354745
52.459077,13.354167
52.459252,13.35301
52.459187,13.350699
52.459074,13.348665
52.459048,13.347767
52.458924,13.345144
52.458792,13.342418
52.458785,13.342241
52.458637,13.339324
52.458539,13.337614
52.458459,13.336655
52.458384,13.335299
52.458287,13.332677
52.458212,13.331336
52.458141,13.329613
52.458017,13.326902
52.457937,13.326061
52.458309,13.324867
52.45883,13.323251
52.458988,13.322786
52.459318,13.323091
52.459762,13.323548
52.460296,13.32408
52.460658,13.323063
52.461121,13.321799
52.461301,13.32176
52.461487,13.321252
52.461446,13.320883
52.462233,13.318747
52.462456,13.31896
52.46357,13.315776
52.464238,13.313857
