lat,long
52.562772,13.412877
52.562115,13.412958
52.561529,13.413041
52.561142,13.413101
52.559829,13.413116
52.559342,13.413232
52.558748,13.413359
52.557607,13.414027
52.557002,13.414257
52.556101,13.414462
52.554985,13.414615
52.554516,13.414688
52.553727,13.414544
52.552785,13.414291
52.552067,13.414164
52.551323,13.414022
52.550641,13.413896
52.549644,13.413759
52.549052,13.413651
52.548621,13.413563
52.547643,13.413368
52.546836,13.413165
52.545294,13.41276
52.544371,13.412508
52.54316,13.412247
52.542837,13.412177
52.54174,13.41214
52.541004,13.412086
52.540149,13.412101
52.537928,13.412159
52.535975,13.412343
52.533013,13.412656
52.532681,13.412571
52.531391,13.41216
52.53124,13.411964
52.530549,13.411072
52.529749,13.410207
52.528784,13.409616
52.52814,13.410124
52.527787,13.410406
52.526784,13.410828
52.525998,13.411155
52.525864,13.411062
52.525492,13.412212
52.525083,13.413478
52.524648,13.412934
52.524,13.412132
52.523354,13.413729
52.522636,13.415264
52.522055,13.416524
52.520704,13.415125
52.51991,13.416172
52.519346,13.416815
52.518012,13.417903
52.517525,13.418049
52.517228,13.418098
52.516516,13.418235
52.515547,13.418085
52.515179,13.418014
52.513734,13.417701
52.512437,13.417157
52.510996,13.416505
52.509561,13.415339
52.507983,13.414109
52.506887,13.413263
52.505642,13.414472
52.504855,13.414828
52.503856,13.414971
52.503061,13.415341
52.502508,13.414881
52.502274,13.415771
52.50171,13.416311
52.500305,13.417381
52.500123,13.417522
52.49993,13.417119
52.499512,13.416722
52.499064,13.418208
52.496483,13.419871
52.495669,13.4203
52.495576,13.419767
52.493848,13.418297
52.492465,13.417294
52.491761,13.416756
52.491012,13.416186
52.489701,13.415171
52.488257,13.414064
52.487573,13.414114
52.486452,13.41468
52.482917,13.415635
52.481996,13.415957
52.481447,13.415982
52.48108,13.415867
52.480623,13.415719
52.48013,13.418027
52.47932,13.418147
52.47827,13.417891
52.476863,13.4183
52.476662,13.418617
52.47521,13.419038
52.474308,13.419258
52.473371,13.419506
52.472505,13.419742
52.47218,13.419834
52.471815,13.420351
52.471111,13.420534
52.47096,13.420425
52.470693,13.420196
52.469863,13.420374
52.469305,13.420502
52.467465,13.420955
52.466717,13.421107
52.466186,13.421206
52.465257,13.421425
52.462971,13.421701
52.462589,13.422086
52.462254,13.421442
52.461726,13.420409
52.461024,13.418826
52.460522,13.417839
52.459543,13.41607
52.458299,13.413939
52.45769,13.412918
