lat,long
52.547376,13.409829
52.546339,13.410088
52.545399,13.410571
52.544611,13.411075
52.543171,13.412012
52.542837,13.412177
52.54174,13.41214
52.541004,13.412086
52.540149,13.412101
52.537928,13.412159
52.535975,13.412343
52.533013,13.412656
52.532681,13.412571
52.531391,13.41216
52.53124,13.411964
52.530549,13.411072
52.529749,13.410207
52.528784,13.409616
52.52814,13.410124
52.527787,13.410406
52.526784,13.410828
52.525998,13.411155
52.525864,13.411062
52.525492,13.412212
52.525083,13.413478
52.524648,13.412934
52.524,13.412132
52.523354,13.413729
52.522636,13.415264
52.522055,13.416524
52.520704,13.415125
52.51991,13.416172
52.519346,13.416815
52.518012,13.417903
52.517525,13.418049
52.517228,13.418098
52.516516,13.418235
52.515547,13.418085
52.515179,13.418014
52.513734,13.417701
52.512437,13.417157
52.510996,13.416505
52.509561,13.415339
52.507983,13.414109
52.506887,13.413263
52.505642,13.414472
52.504855,13.414828
52.503856,13.414971
52.503061,13.415341
52.502508,13.414881
52.502274,13.415771
52.50171,13.416311
52.500305,13.417381
52.500123,13.417522
52.49993,13.417119
52.499512,13.416722
52.499064,13.418208
52.498939,13.41735
52.498419,13.417186
52.497232,13.416395
52.49658,13.415932
52.495527,13.415235
52.495009,13.414894
52.494866,13.414786
52.494733,13.414693
52.494562,13.414688
52.494261,13.414266
52.493369,13.413544
52.493013,13.413282
52.492397,13.41282
52.491996,13.412527
52.491612,13.412235
52.491469,13.41298
52.488297,13.413653
52.488583,13.411353
